epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.005,1.35856,1.14068,1.01521,0.84155,0.689,0.80933,0.4476,1.50573,0.89679,1.02102,0.000665269,0.000665269,0.000665269
2,234.68,1.21599,0.76013,0.96956,0.86198,0.75521,0.86174,0.50295,1.42118,0.77338,0.98876,0.00128798,0.00128798,0.00128798
3,324.544,1.18135,0.69864,0.96124,0.87798,0.76408,0.87314,0.5277,1.35018,0.72778,0.97926,0.00186669,0.00186669,0.00186669
4,403.968,1.12819,0.65175,0.94386,0.88057,0.77785,0.8783,0.53421,1.32945,0.6804,0.96845,0.001802,0.001802,0.001802
5,483.41,1.08188,0.61885,0.9316,0.89169,0.78607,0.89553,0.55601,1.29064,0.67308,0.96121,0.001736,0.001736,0.001736
6,562.93,1.05667,0.60186,0.92507,0.88877,0.80125,0.90523,0.56816,1.24961,0.63188,0.94923,0.00167,0.00167,0.00167
7,642.498,1.02212,0.58001,0.91509,0.91596,0.80108,0.91086,0.58549,1.19624,0.60776,0.93951,0.001604,0.001604,0.001604
8,721.813,0.99647,0.56455,0.90836,0.90342,0.80806,0.91067,0.59441,1.17387,0.59954,0.93331,0.001538,0.001538,0.001538
9,801.247,0.97861,0.55294,0.90359,0.90301,0.82418,0.91595,0.59794,1.16035,0.58819,0.93139,0.001472,0.001472,0.001472
10,880.589,0.95268,0.5376,0.89708,0.90352,0.82462,0.91865,0.60537,1.15333,0.58851,0.92864,0.001406,0.001406,0.001406
11,959.752,0.93481,0.52616,0.89363,0.90485,0.82143,0.91921,0.60419,1.13291,0.57207,0.92391,0.00134,0.00134,0.00134
12,1038.95,0.9251,0.51988,0.89099,0.90865,0.82479,0.92628,0.6215,1.10294,0.55765,0.91909,0.001274,0.001274,0.001274
13,1118.44,0.9043,0.50997,0.88485,0.9086,0.83348,0.92907,0.62318,1.09656,0.55805,0.9188,0.001208,0.001208,0.001208
14,1198.09,0.89511,0.50293,0.88353,0.9094,0.8443,0.93238,0.62895,1.06504,0.53854,0.91268,0.001142,0.001142,0.001142
15,1277.27,0.87982,0.49314,0.87939,0.90797,0.8378,0.92636,0.62608,1.08364,0.54139,0.91682,0.001076,0.001076,0.001076
16,1356.53,0.86536,0.48617,0.87684,0.9135,0.8474,0.93131,0.63836,1.05109,0.52654,0.91088,0.00101,0.00101,0.00101
17,1435.78,0.85,0.47904,0.87348,0.92156,0.8547,0.93408,0.64129,1.04447,0.51885,0.91052,0.000944,0.000944,0.000944
18,1515.28,0.84557,0.47514,0.87142,0.92548,0.84938,0.93746,0.64685,1.03131,0.51628,0.90481,0.000878,0.000878,0.000878
19,1594.4,0.83403,0.46834,0.86934,0.92103,0.84876,0.93894,0.64936,1.01859,0.50751,0.90339,0.000812,0.000812,0.000812
20,1673.79,0.82332,0.46253,0.86685,0.92542,0.85281,0.94044,0.65379,1.00275,0.49988,0.90023,0.000746,0.000746,0.000746
21,1800.12,0.78499,0.43877,0.84979,0.92305,0.85577,0.94137,0.65196,1.01497,0.50686,0.90167,0.00068,0.00068,0.00068
22,1887.87,0.7657,0.42989,0.84605,0.92393,0.85975,0.94273,0.65975,0.99246,0.49776,0.90042,0.000614,0.000614,0.000614
23,1978.75,0.74625,0.41917,0.84273,0.92683,0.85918,0.94367,0.66074,0.98617,0.49203,0.89781,0.000548,0.000548,0.000548
24,2066.59,0.73403,0.41368,0.83927,0.92469,0.86652,0.94595,0.66556,0.97558,0.49232,0.89497,0.000482,0.000482,0.000482
25,2155,0.71992,0.40619,0.83666,0.92565,0.86698,0.94649,0.66852,0.9598,0.48101,0.89182,0.000416,0.000416,0.000416
26,2237.39,0.70625,0.40073,0.83343,0.92829,0.86493,0.94693,0.67155,0.95157,0.47643,0.89208,0.00035,0.00035,0.00035
27,2320.65,0.69044,0.39269,0.83044,0.92513,0.86994,0.94786,0.67509,0.94248,0.47201,0.89018,0.000284,0.000284,0.000284
28,2405.09,0.68123,0.38752,0.82851,0.9314,0.86847,0.94812,0.67834,0.93459,0.46868,0.88827,0.000218,0.000218,0.000218
29,2488.83,0.67068,0.38183,0.82529,0.92876,0.87417,0.94941,0.68233,0.92375,0.46313,0.88746,0.000152,0.000152,0.000152
30,2581.07,0.65609,0.37583,0.82326,0.92872,0.87421,0.94966,0.68421,0.91765,0.4608,0.88555,8.6e-05,8.6e-05,8.6e-05
