epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.39,1.35856,1.14068,1.01521,0.84157,0.689,0.80933,0.44759,1.50021,0.89801,1.01676,0.000665269,0.000665269,0.000665269
2,187.754,1.21599,0.76013,0.96956,0.862,0.75523,0.86173,0.50294,1.41911,0.77651,0.98532,0.00128798,0.00128798,0.00128798
3,269.107,1.18135,0.69864,0.96124,0.87798,0.76408,0.87314,0.5277,1.34665,0.72648,0.97567,0.00186669,0.00186669,0.00186669
4,348.945,1.12819,0.65175,0.94386,0.88057,0.77785,0.8783,0.53422,1.32578,0.68171,0.9651,0.001802,0.001802,0.001802
5,428.992,1.08188,0.61885,0.9316,0.89169,0.78607,0.89553,0.55592,1.28628,0.67333,0.95754,0.001736,0.001736,0.001736
6,508.867,1.05667,0.60186,0.92507,0.88877,0.80125,0.90523,0.56815,1.2457,0.63143,0.94581,0.00167,0.00167,0.00167
7,588.679,1.02212,0.58001,0.91509,0.91596,0.80108,0.91086,0.58548,1.19454,0.6079,0.93654,0.001604,0.001604,0.001604
8,668.46,0.99647,0.56455,0.90836,0.90342,0.80806,0.91067,0.5944,1.17059,0.59824,0.93005,0.001538,0.001538,0.001538
9,748.27,0.97861,0.55294,0.90359,0.90301,0.82418,0.91594,0.59794,1.1581,0.58823,0.92801,0.001472,0.001472,0.001472
10,828.023,0.95268,0.5376,0.89708,0.90352,0.82462,0.91865,0.60537,1.14917,0.58806,0.92511,0.001406,0.001406,0.001406
11,907.847,0.93481,0.52616,0.89363,0.90485,0.82143,0.9192,0.60419,1.13071,0.57071,0.9207,0.00134,0.00134,0.00134
12,987.459,0.9251,0.51988,0.89099,0.90864,0.82478,0.92627,0.62149,1.10303,0.55778,0.91625,0.001274,0.001274,0.001274
13,1067.11,0.9043,0.50997,0.88485,0.9086,0.83348,0.92908,0.62319,1.09591,0.55762,0.91568,0.001208,0.001208,0.001208
14,1146.89,0.89511,0.50293,0.88353,0.9094,0.8443,0.93238,0.62895,1.06282,0.53781,0.90973,0.001142,0.001142,0.001142
15,1226.45,0.87982,0.49314,0.87939,0.90797,0.83781,0.92635,0.62608,1.08176,0.54041,0.91397,0.001076,0.001076,0.001076
16,1305.92,0.86536,0.48617,0.87684,0.9135,0.8474,0.9313,0.63836,1.04874,0.52549,0.90749,0.00101,0.00101,0.00101
17,1385.73,0.85,0.47904,0.87348,0.92197,0.85416,0.93409,0.6413,1.04421,0.51822,0.90775,0.000944,0.000944,0.000944
18,1465.45,0.84557,0.47514,0.87142,0.92546,0.84937,0.93746,0.64685,1.03059,0.51468,0.90193,0.000878,0.000878,0.000878
19,1548.3,0.83403,0.46834,0.86934,0.92103,0.84876,0.93893,0.64937,1.01749,0.507,0.90009,0.000812,0.000812,0.000812
20,1629.31,0.82332,0.46253,0.86685,0.9254,0.85279,0.94043,0.65378,1.00033,0.49911,0.89692,0.000746,0.000746,0.000746
21,1752.76,0.78499,0.43877,0.84979,0.92306,0.85578,0.94137,0.65196,1.01418,0.50628,0.89866,0.00068,0.00068,0.00068
22,1837.23,0.7657,0.42989,0.84605,0.92395,0.85977,0.94274,0.65975,0.99202,0.49726,0.89737,0.000614,0.000614,0.000614
23,1922.27,0.74625,0.41917,0.84273,0.92685,0.8592,0.94367,0.66073,0.98616,0.49154,0.8949,0.000548,0.000548,0.000548
24,2010.92,0.73403,0.41368,0.83927,0.92469,0.86652,0.94595,0.66556,0.97404,0.49133,0.8921,0.000482,0.000482,0.000482
25,2092.02,0.71992,0.40619,0.83666,0.92565,0.86698,0.94648,0.66852,0.95986,0.48031,0.88889,0.000416,0.000416,0.000416
26,2173.58,0.70625,0.40073,0.83343,0.92829,0.86493,0.94693,0.67157,0.95025,0.47518,0.88896,0.00035,0.00035,0.00035
27,2256.6,0.69044,0.39269,0.83044,0.92513,0.86994,0.94787,0.67507,0.94125,0.47084,0.88702,0.000284,0.000284,0.000284
28,2333.75,0.68123,0.38752,0.82851,0.93141,0.86848,0.94812,0.67834,0.93371,0.46726,0.88521,0.000218,0.000218,0.000218
29,2410.54,0.67068,0.38183,0.82529,0.92876,0.87417,0.94941,0.68232,0.92322,0.46219,0.88448,0.000152,0.000152,0.000152
30,2486.08,0.65609,0.37583,0.82326,0.92872,0.87421,0.94966,0.68422,0.91742,0.45988,0.88261,8.6e-05,8.6e-05,8.6e-05
